date,1. open,2. high,3. low,4. close,5. volume
2025-03-07 19:45:00,262.22,262.45,262.1212,262.3801,34869.0
2025-03-07 19:30:00,262.17,262.5,262.05,262.17,19931.0
2025-03-07 19:15:00,262.2,262.25,262.05,262.19,11336.0
2025-03-07 19:00:00,262.18,262.39,262.0,262.1999,16713.0
2025-03-07 18:45:00,262.04,262.67,261.9,262.38,14695.0
2025-03-07 18:30:00,261.8,262.38,261.69,262.09,31487.0
2025-03-07 18:15:00,262.63,262.7,261.8,261.88,46872.0
2025-03-07 18:00:00,262.575,262.8,262.55,262.7,16430.0
2025-03-07 17:45:00,262.67,262.97,262.44,262.5983,24506.0
2025-03-07 17:30:00,262.89,279.7704,262.47,262.65,48943.0
2025-03-07 17:15:00,262.6,271.0,253.487,262.8,63605.0
2025-03-07 17:00:00,262.625,262.68,262.4,262.58,28394.0
2025-03-07 16:45:00,262.425,262.67,262.35,262.57,55436.0
2025-03-07 16:30:00,262.54,279.78,261.03,262.42,367462.0
2025-03-07 16:15:00,262.58,262.67,261.9,262.45,96263.0
2025-03-07 16:00:00,262.67,263.4,261.5,262.66,5129955.0
2025-03-07 15:45:00,260.3,263.5,260.01,262.65,4861153.0
2025-03-07 15:30:00,261.62,261.94,258.46,260.31,3234425.0
2025-03-07 15:15:00,261.845,262.3999,260.52,261.62,2039212.0
2025-03-07 15:00:00,260.55,262.7693,260.09,261.86,2224397.0
2025-03-07 14:45:00,261.06,261.1188,259.23,260.59,2833635.0
2025-03-07 14:30:00,263.15,263.57,260.59,260.98,2148540.0
2025-03-07 14:15:00,263.04,264.27,262.52,263.113,2355207.0
2025-03-07 14:00:00,263.43,264.11,261.35,263.0,2514702.0
2025-03-07 13:45:00,262.6317,264.07,262.47,263.3959,2099988.0
2025-03-07 13:30:00,260.27,263.69,259.6715,262.5137,2678377.0
2025-03-07 13:15:00,261.2438,262.89,259.82,260.2,2717298.0
2025-03-07 13:00:00,256.86,262.02,256.58,261.18,3768001.0
2025-03-07 12:45:00,258.11,261.16,256.7,256.79,4038780.0
2025-03-07 12:30:00,256.09,258.3,254.9,258.135,3361689.0
2025-03-07 12:15:00,253.85,256.095,252.83,256.04,2570167.0
2025-03-07 12:00:00,252.71,259.36,252.31,253.81,3933855.0
2025-03-07 11:45:00,253.4,259.43,250.73,252.6541,4425149.0
2025-03-07 11:30:00,254.42,258.96,252.52,253.454,4208490.0
2025-03-07 11:15:00,258.85,259.0,254.31,254.39,4280617.0
