datetime,open,high,low,close,volume
2024-12-20 00:00:00,97461.86,97814.09,96807.79,96828.79,1183.94092
2024-12-20 00:30:00,96828.78,97653.17,96648.78,97248.22,1342.3907
2024-12-20 01:00:00,97248.22,97542.68,96678.83,97061.95,908.33164
2024-12-20 01:30:00,97061.95,97440.45,96159.84,96319.99,1604.09425
2024-12-20 02:00:00,96319.99,97230.02,96000.0,97188.0,1607.27734
2024-12-20 02:30:00,97188.01,97731.91,97094.22,97632.59,1024.80023
2024-12-20 03:00:00,97632.59,97784.81,97330.74,97512.47,536.13566
2024-12-20 03:30:00,97512.48,97544.0,96969.7,97106.02,505.05797
2024-12-20 04:00:00,97106.02,97768.25,96839.4,97767.94,681.05859
2024-12-20 04:30:00,97767.95,97838.98,97282.12,97304.07,594.11396
2024-12-20 05:00:00,97304.07,97491.95,96971.78,96972.74,714.74962
2024-12-20 05:30:00,96972.73,97258.5,96672.47,96734.32,624.71604
2024-12-20 06:00:00,96734.33,97303.99,96669.68,96708.0,601.66246
2024-12-20 06:30:00,96708.0,97281.38,96374.03,97281.37,1061.94386
2024-12-20 07:00:00,97281.38,98232.0,97276.5,98058.43,1506.19245
2024-12-20 07:30:00,98058.43,98233.0,97661.32,97832.53,1086.96179
2024-12-20 08:00:00,97832.52,97864.91,96621.0,96640.49,1052.97183
2024-12-20 08:30:00,96640.5,96795.81,95300.0,95473.74,2384.67921
2024-12-20 09:00:00,95473.74,95738.79,95007.32,95174.13,2355.92475
2024-12-20 09:30:00,95174.13,95700.0,94682.27,94811.85,2158.58694
2024-12-20 10:00:00,94811.85,95000.0,94000.0,94722.01,3401.82149
2024-12-20 10:30:00,94722.01,95114.71,94300.0,94359.53,1357.98992
2024-12-20 11:00:00,94359.54,94749.92,93219.62,93636.0,2531.58904
2024-12-20 11:30:00,93636.0,93680.0,92612.1,92723.98,3765.62807
2024-12-20 12:00:00,92723.99,93783.78,92232.54,93643.6,3425.00393
2024-12-20 12:30:00,93643.61,94244.0,93506.91,93941.75,1999.77616
2024-12-20 13:00:00,93941.74,94277.19,93581.32,93836.85,1155.68179
2024-12-20 13:30:00,93836.85,95803.57,93836.85,95204.0,3023.5645
2024-12-20 14:00:00,95204.0,95483.36,94745.87,95218.75,1284.04256
2024-12-20 14:30:00,95218.75,96235.29,95053.71,95627.99,1961.07653
2024-12-20 15:00:00,95628.0,97143.0,95608.01,97065.35,1832.00886
2024-12-20 15:30:00,97065.34,97572.0,96759.26,96991.62,1662.15333
2024-12-20 16:00:00,96991.63,97700.0,96817.72,97395.99,1207.65672
2024-12-20 16:30:00,97395.99,97630.67,96300.0,96727.99,1686.44418
2024-12-20 17:00:00,96728.0,97285.71,96427.0,97275.73,1015.77195
2024-12-20 17:30:00,97275.73,97375.45,96846.0,97206.59,719.95302
2024-12-20 18:00:00,97206.6,97308.39,96602.69,96806.66,717.20969
2024-12-20 18:30:00,96806.67,97272.0,96614.45,96993.58,499.23845
2024-12-20 19:00:00,96992.26,97727.27,96840.0,97584.33,613.97227
2024-12-20 19:30:00,97584.34,97748.0,97048.33,97116.0,725.77668
2024-12-20 20:00:00,97116.0,97232.0,96852.0,97099.99,517.86669
2024-12-20 20:30:00,97100.0,97151.99,96422.06,96451.88,836.25932
2024-12-20 21:00:00,96451.88,96642.97,95393.84,96148.61,1068.79328
2024-12-20 21:30:00,96148.61,96647.36,96132.0,96623.29,535.81212
2024-12-20 22:00:00,96623.29,97260.61,96451.03,97160.76,552.29249
2024-12-20 22:30:00,97160.77,97513.0,96936.0,97463.93,426.04948
2024-12-20 23:00:00,97463.93,97793.27,97389.38,97783.43,429.9363
2024-12-20 23:30:00,97783.43,97816.44,97450.04,97805.44,395.17667
2024-12-21 00:00:00,97805.44,97813.59,97218.33,97240.01,595.81598
2024-12-21 00:30:00,97240.0,97680.0,97216.32,97525.77,345.45347
2024-12-21 01:00:00,97525.77,97668.68,97308.0,97478.43,544.78207
2024-12-21 01:30:00,97478.43,97496.64,97198.76,97357.23,395.11693
2024-12-21 02:00:00,97357.23,97532.0,97188.09,97407.83,285.58296
