datetime,open,high,low,close,volume,1h_rsi,1h_sma_20,1h_bb_percent,1h_macd_diff,1h_ema_13,1h_elder_bull,1h_elder_bear,1h_force_index,1h_roc,1h_price_sma_diff
2024-12-21 09:00:00,98650.0,98686.77,98296.01,98565.82,668.62346,60.786026695891536,97501.8665,0.8112500638166817,140.79868911718205,97985.51157569035,701.2584243096499,310.49842430964054,150116.1655103972,2.0104159152519165,1063.9535000000033
2024-12-21 10:00:00,98565.82,98649.9,98043.12,98131.22,904.66058,56.06740225902914,97627.028,0.6686078947346364,84.08717948023099,98006.32706487745,643.5729351225455,36.79293512254662,72504.50071348259,0.6846532866056275,504.19199999999546
2024-12-21 11:00:00,98131.22,98424.77,97800.0,98262.08,836.65859,57.1461099723191,97690.551,0.6918238484191565,48.3567615861258,98042.8631984664,381.9068015336088,-242.86319846639526,77787.44962404229,0.466886095497346,571.528999999995
2024-12-21 12:00:00,98262.08,98283.95,97105.26,97131.99,1762.27838,46.52252735814205,97710.751,0.30005779718666925,-52.93116495924693,97912.73845582835,371.2115441716451,-807.4784558283573,-217829.7823871343,-0.4037702035062105,-578.7609999999986
2024-12-21 13:00:00,97132.0,97500.48,96398.39,97344.54,2544.04817,48.463123576368574,97717.64850000001,0.3703525389182291,-104.19479840739336,97831.56724785287,-331.0872478528763,-1433.1772478528728,-109463.03654133365,-0.0130344710916717,-373.10850000001665
2024-12-21 14:00:00,97344.02,97755.35,97069.4,97083.11,968.11701,46.24050044851624,97722.125,0.27663513701352527,-151.427664973611,97724.6447838739,30.705216126109008,-655.2447838739026,-129981.86416747075,-0.32125549303872786,-639.0149999999994
2024-12-21 15:00:00,97083.11,97719.86,97070.28,97527.97,655.66124,50.408381601001544,97742.7235,0.4236615650645395,-148.2391879762274,97696.54838617763,23.31161382237042,-626.2683861776313,-69744.81796834631,0.041554062440435684,-214.75349999999162
2024-12-21 16:00:00,97527.96,97718.8,96951.41,97292.0,1007.90405,48.27061136061136,97784.72949999999,0.30985797890015776,-156.7258478517166,97638.75575958083,80.04424041917082,-687.3457595808286,-93757.718069797,-0.30331598147313193,-492.72949999998673
2024-12-21 17:00:00,97292.0,97695.8,97035.58,97595.28,805.82908,51.13871486686525,97833.329,0.3996475615534999,-137.31448747661096,97632.54493678357,63.25506321643479,-596.9649367835664,-45450.63786234043,-1.1112351783802465,-238.04899999999907
2024-12-21 18:00:00,97595.29,97723.18,97287.87,97400.01,378.3964,49.24549765768321,97830.133,0.31933159866598293,-132.93809287298623,97599.3256601002,123.85433989978628,-311.4556601002114,-49513.327457434876,-1.343860570325614,-430.12300000000687
2024-12-21 19:00:00,97400.01,97436.69,96819.36,97269.03,741.60788,47.962843137111996,97803.3125,0.28018380567438894,-133.80891096489952,97552.14056580017,-115.45056580017263,-732.7805658001744,-56316.53783814375,-1.7881361066235877,-534.2825000000012
2024-12-21 20:00:00,97269.03,98057.51,97224.83,97456.91,882.07806,49.975573208274234,97799.8695,0.35930496181391,-117.26905273588966,97538.5361992573,518.9738007426931,-313.7061992572999,-24596.343016579776,-1.2094171312721709,-342.9594999999972
2024-12-21 21:00:00,97456.92,97577.99,96539.91,96892.0,703.06094,44.413116788678785,97776.608,0.15130509303913706,-138.45758584198458,97446.17388507769,131.81611492231605,-906.2638850776857,-77820.60195926874,-1.6981748845593805,-884.6079999999929
2024-12-21 22:00:00,96892.0,97399.99,96624.0,97147.46,879.19206,47.27126358057074,97764.18100000001,0.26056158421513986,-129.51313608739272,97403.50047292374,-3.510472923735506,-779.5004729237407,-34617.8868725724,-1.0024944151310813,-616.721000000005
2024-12-21 23:00:00,97147.46,97313.26,96900.0,97291.99,374.62991,48.87296868936435,97754.4075,0.32201281949998306,-108.93490609708226,97387.5704053632,-74.31040536321234,-487.5704053632071,-21937.43719187641,-0.9872475730210437,-462.4174999999959
2024-12-22 00:00:00,97292.0,97448.08,97052.0,97253.01,422.37636,48.44554600535148,97737.65800000001,0.31582142693032195,-93.60648765972337,97368.34749031132,79.73250968867796,-316.3474903113238,-21155.550523437556,0.12459334972956852,-484.6480000000156
2024-12-22 01:00:00,97253.01,97432.69,96720.0,97060.01,447.72923,46.28706301982415,97656.0595,0.2654244210715923,-91.98793888266701,97324.29927740971,108.3907225902949,-604.2992774097074,-30477.863504375047,-0.2922916888815735,-596.0495000000083
2024-12-22 02:00:00,97060.0,97236.18,96613.18,96719.99,371.81103,42.67925482935829,97555.721,0.16104693807399592,-108.22013162031101,97237.9693806369,-1.7893806369102094,-624.7893806369102,-44184.338206692344,-0.3740300449789828,-835.7309999999998
2024-12-22 03:00:00,96719.99,97320.0,96549.37,96994.37,606.61122,46.31559600107608,97453.43950000001,0.28118561910124773,-95.33367672709073,97203.16946911735,116.83053088265297,-653.7994691173517,-14094.863242365731,-0.5471250965235981,-459.06950000001234
2024-12-22 04:00:00,96994.37,97071.97,96072.0,96076.01,713.4718,37.69589751517623,97324.74,-0.08807100954256442,-140.77234248874774,97042.14668781488,29.82331218512263,-970.1466878148785,-105684.73452888496,-1.249835546601987,-1248.7300000000105
2024-12-22 05:00:00,96076.01,96409.64,95890.28,96156.19,1122.09453,38.76738087193829,97204.2585,-0.015290332887039446,-156.34075531613462,96915.58144669847,-505.94144669847446,-1025.301446698475,-77734.12396541447,-1.4745487691617838,-1048.068499999994
2024-12-22 06:00:00,96156.19,96749.99,96112.0,96739.99,591.16867,46.04343322768957,97134.697,0.290349171941859,-119.87476630357303,96890.49695431298,-140.50695431297936,-778.4969543129846,-17325.782035212163,-0.6776385341233431,-394.7069999999949
2024-12-22 07:00:00,96740.0,96847.99,96080.0,96210.24,554.68137,41.25314544093531,97032.105,0.0288615216106318,-123.49717039643812,96793.31738941114,54.67261058886652,-713.3173894111387,-56828.163995539,-1.0885170747564703,-821.8649999999907
2024-12-22 08:00:00,96210.25,96689.55,96196.85,96534.5,503.87812,45.023466669477074,97002.23049999999,0.2392970322264576,-97.27391212908384,96756.34347663813,-66.79347663812223,-559.4934766381193,-25368.780683148092,-0.9464798340107473,-467.73049999999057
2024-12-22 09:00:00,96534.51,97256.02,96333.5,96940.27,777.26357,49.39986320730235,96982.01699999999,0.4763716002528851,-48.29515273116161,96782.61869426125,473.4013057387492,-449.11869426125486,23311.07924285922,0.049818354456512476,-41.746999999988475
2024-12-22 10:00:00,96940.27,97351.57,96852.0,97009.03,522.54613,50.124412530981324,96978.313,0.5174073197411103,-9.018350034132908,96814.96316650965,536.6068334903539,37.03683349034691,25113.821050850373,-0.14249471885318213,30.71700000000419
2024-12-22 11:00:00,97009.03,97334.25,96988.0,97101.28,381.30098,51.13535445563634,96956.9785,0.5850757142150015,23.638130828730056,96855.865571294,478.38442870600556,132.13442870600556,26551.134530014606,-0.19601819224789868,144.3015000000014
2024-12-22 12:00:00,97101.29,97300.0,96836.36,96987.61,442.59499,49.79599614580661,96941.759,0.5274788979369603,37.238006118794914,96874.68620396628,425.313796033719,-38.326203966280445,15571.004952398345,-0.2728964378583184,45.85099999999511
