datetime,open,high,low,close,volume,d_rsi,d_sma_20,d_bb_percent,d_macd_diff,d_ema_13,d_elder_bull,d_elder_bear,d_force_index,d_roc,d_price_sma_diff
2025-01-22,106143.82,106394.46,103339.12,103706.66,22248.69254,59.55812378860079,98954.507,0.8037956126300849,854.3163859128874,101026.66029918702,5367.79970081299,2312.4597008129786,26870822.279339474,9.480543432006236,4752.153000000006
2025-01-23,103706.66,106850.0,101262.28,103910.34,53953.12031,59.90559434184119,99241.315,0.788158795206234,736.5386412373191,101438.6145421603,5411.3854578397,-176.33454216030077,24602015.03153961,9.84180865135397,4669.024999999994
2025-01-24,103910.35,107120.0,102750.0,104870.5,23609.24017,61.581342687829135,99573.815,0.8135926133682627,673.5774466455214,101928.88389328026,5191.116106719739,821.116106719739,24325819.747266423,10.92118403647954,5296.684999999998
2025-01-25,104870.51,105286.52,104106.09,104746.85,9068.32377,61.22644817859586,99892.977,0.7784389891003564,577.5732920583009,102331.45047995451,2955.069520045494,1774.6395200454863,20690517.178491157,10.800900396779642,4853.873000000007
2025-01-26,104746.86,105500.0,102520.44,102620.0,9812.51238,55.320819269966776,99912.19700000001,0.6549357880420408,336.7351961940449,102372.67183996101,3127.328160038989,147.76816003899148,14753337.302220557,6.274944112966682,2707.8029999999853
2025-01-27,102620.01,103260.0,97777.77,102082.83,50758.1341,53.90656239901074,100168.608,0.6103040885591188,118.42529897935515,102331.26586282373,928.7341371762741,-4553.495862823722,8750610.988403777,1.577633639095952,1914.2220000000088
2025-01-28,102082.83,103800.0,100272.68,101335.52,22022.05765,51.91803460835928,100482.3535,0.5510043148131066,-88.0007532995121,102189.01645384892,1610.983546151081,-1916.3364538489259,5149480.289714459,1.3483912456882035,853.1665000000066
2025-01-29,101335.52,104782.68,101328.01,103733.24,23155.35802,57.35371138407691,101041.391,0.6763670782356487,-75.24800828363868,102409.6198175848,2373.0601824151963,-1081.609817584802,12345278.110000169,-0.33075358857650156,2691.849000000002
2025-01-30,103733.25,106457.44,103278.54,104722.94,19374.07472,59.39426753221053,101541.23250000001,0.7206693857820112,-15.47180086555727,102740.0941293584,3717.3458706415986,538.4458706415899,13320884.344340708,0.15944530517216085,3181.7074999999895
2025-01-31,104722.94,106012.0,101560.0,102429.56,21983.18193,53.05875835640968,101932.711,0.5383869417094531,-138.83899814068218,102695.73211087864,3316.267889121358,-1135.7321108786418,4215645.18448868,1.0835616185557875,496.849000000002
