datetime,open,high,low,close,volume,15m_rsi,15m_sma_20,15m_bb_percent,15m_macd_diff,15m_ema_13,15m_elder_bull,15m_elder_bear,15m_force_index,15m_roc,15m_price_sma_diff
2024-12-20 08:15:00,97129.36,97161.02,96621.0,96640.49,616.03201,41.756526984556416,97264.73199999999,0.17319065589886862,0.7690920557741521,97314.11489890689,-153.09489890688565,-693.1148989068897,-31914.05119968454,-0.34262206059146105,-624.2419999999838
2024-12-20 08:30:00,96640.5,96795.81,95847.8,96050.44,1086.13102,36.33754517304041,97215.28349999999,-0.034557556713222776,-81.55530421588786,97133.58991334877,-337.7799133487715,-1285.7899133487663,-118907.9879355872,-1.1445565635802795,-1164.8434999999881
2024-12-20 08:45:00,96050.45,96114.69,95300.0,95473.74,1298.54819,31.970492147290628,97133.66949999999,-0.12478276246306166,-165.7026485394932,96896.4684971561,-781.7784971560905,-1596.4684971560928,-208902.9526837885,-1.3031362602228471,-1659.9294999999838
2024-12-20 09:00:00,95473.74,95738.79,95007.32,95080.15,1387.17992,29.375714725711674,97036.64700000001,-0.11047138846614311,-234.5181162734782,96636.9944261338,-898.2044261338015,-1629.674426133788,-257056.83725936376,-1.884995940431039,-1956.4970000000176
2024-12-20 09:15:00,95080.16,95665.88,95057.01,95174.13,968.74483,30.819525874299046,96906.9565,0.006906933587080818,-258.4663476854077,96428.01379382897,-762.1337938289653,-1371.0037938289752,-207328.34063325322,-1.5860838813748557,-1732.8264999999956
2024-12-20 09:30:00,95174.13,95700.0,95121.22,95140.01,803.9264,30.575136122892033,96777.859,0.06303392245324121,-260.6232043765865,96244.01325185341,-544.0132518534083,-1122.7932518534071,-181628.57322393247,-1.435831355627037,-1637.849000000002
2024-12-20 09:45:00,95140.0,95265.21,94682.27,94811.85,1354.66054,28.254505340922023,96653.24799999999,0.04901562212915206,-267.1795164376218,96039.41850158865,-774.2085015886405,-1357.1485015886428,-219188.12030714,-2.5385333286321825,-1841.3979999999865
2024-12-20 10:00:00,94811.85,94971.52,94000.0,94002.85,1693.56322,23.515933813612946,96489.4775,-0.035664175713193,-306.2267584881033,95748.48014421885,-776.9601442188432,-1748.4801442188473,-383603.0524032629,-4.11768401859571,-2486.627499999988
2024-12-20 10:15:00,94004.02,95000.0,94000.02,94722.01,1708.25827,34.096940619538984,96376.94099999999,0.1597638894784468,-265.3702111857583,95601.84155218759,-601.8415521875868,-1601.8215521875827,-153301.0424237709,-3.4024815612487354,-1654.9309999999969
2024-12-20 10:30:00,94722.01,95114.71,94369.0,94971.98,740.53776,37.34169421800253,96267.41399999999,0.2385634484075775,-205.91106172897997,95511.86133044651,-397.1513304465043,-1142.8613304465107,-104956.29009648923,-3.1530633055963495,-1295.4339999999938
2024-12-20 10:45:00,94971.98,95056.0,94300.0,94359.53,617.45216,33.04837055285806,96148.6745,0.156090522642893,-192.4774251686141,95347.24256895416,-291.242568954156,-1047.242568954156,-143985.18799584766,-3.549943970579111,-1789.1444999999949
2024-12-20 11:00:00,94359.54,94749.92,94080.0,94080.01,991.5736,31.28069352775705,96007.333,0.14639945163589366,-186.91039205493587,95166.20934481785,-416.2893448178511,-1086.2093448178493,-163010.82580672717,-3.1394729667733894,-1927.323000000004
2024-12-20 11:15:00,94080.01,94312.0,93219.62,93636.0,1540.01544,28.658466105246262,95853.733,0.11647333911103715,-196.63718758491802,94947.60800984387,-635.6080098438688,-1727.9880098438734,-237406.74433639357,-3.1089349816003677,-2217.732999999993
